iso_o,iso_d,distw
ALB,PAK,4761.674
ALB,PAL,1701.39
ALB,PAN,10191.83
ALB,PCN,
ALB,PER,11370.4
ALB,PHL,10011.04
ALB,PLW,11479.25
ALB,PNG,13639.35
ALB,POL,1191.41
ALB,PRI,8368.077
ALB,PRK,8391.325
ALB,PRT,2481.031
ALB,PRY,10823.77
ALB,PYF,17213.87
ALB,QAT,3402.381
ALB,REU,7842.401
ALB,ROM,684.9103
ALB,RUS,2777.355
ALB,RWA,4909.097
ALB,SAU,2940.637
ALB,SDN,3187.563
ALB,SEN,4614.387
ALB,SGP,9420.047
ALB,SHN,7065.404
ALB,SLB,14734.42
ALB,SLE,4843.656
ALB,SLV,10539.75
ALB,SMR,680.5862
ALB,SOM,4871.128
ALB,SPM,5879.949
